Layer 47, EMA(decay=0.99999)
Token Selections: 73600
Router Entropy (avg): nan bits
Top-k Confidence (avg): nan
Load-Balance CV: 1.3909

Expert 65: EMA=0.02%  Hits=3700
Expert 3: EMA=0.02%  Hits=3537
Expert 104: EMA=0.02%  Hits=3648
Expert 24: EMA=0.02%  Hits=3545
Expert 59: EMA=0.02%  Hits=3367
Expert 76: EMA=0.02%  Hits=2570
Expert 99: EMA=0.01%  Hits=2630
Expert 48: EMA=0.01%  Hits=2026
Expert 30: EMA=0.01%  Hits=1984
Expert 60: EMA=0.01%  Hits=1714
Expert 105: EMA=0.01%  Hits=1424
Expert 77: EMA=0.01%  Hits=1472
Expert 103: EMA=0.01%  Hits=1560
Expert 10: EMA=0.01%  Hits=1483
Expert 122: EMA=0.01%  Hits=1359
Expert 12: EMA=0.01%  Hits=1361
Expert 69: EMA=0.01%  Hits=1224
Expert 19: EMA=0.01%  Hits=1270
Expert 72: EMA=0.01%  Hits=1233
Expert 55: EMA=0.01%  Hits=1220
Expert 67: EMA=0.01%  Hits=1167
Expert 109: EMA=0.01%  Hits=1088
Expert 46: EMA=0.01%  Hits=963
Expert 94: EMA=0.01%  Hits=1082
Expert 54: EMA=0.01%  Hits=980
Expert 0: EMA=0.01%  Hits=925
Expert 87: EMA=0.00%  Hits=909
Expert 82: EMA=0.00%  Hits=864
Expert 121: EMA=0.00%  Hits=730
Expert 79: EMA=0.00%  Hits=715
Expert 114: EMA=0.00%  Hits=703
Expert 112: EMA=0.00%  Hits=638
Expert 38: EMA=0.00%  Hits=757
Expert 64: EMA=0.00%  Hits=599
Expert 37: EMA=0.00%  Hits=563
Expert 6: EMA=0.00%  Hits=586
Expert 4: EMA=0.00%  Hits=651
Expert 113: EMA=0.00%  Hits=639
Expert 61: EMA=0.00%  Hits=619
Expert 107: EMA=0.00%  Hits=597
Expert 84: EMA=0.00%  Hits=497
Expert 89: EMA=0.00%  Hits=505
Expert 42: EMA=0.00%  Hits=510
Expert 115: EMA=0.00%  Hits=479
Expert 92: EMA=0.00%  Hits=456
Expert 88: EMA=0.00%  Hits=510
Expert 41: EMA=0.00%  Hits=472
Expert 22: EMA=0.00%  Hits=465
Expert 102: EMA=0.00%  Hits=417
Expert 123: EMA=0.00%  Hits=322
Expert 31: EMA=0.00%  Hits=308
Expert 62: EMA=0.00%  Hits=314
Expert 110: EMA=0.00%  Hits=317
Expert 108: EMA=0.00%  Hits=264
Expert 21: EMA=0.00%  Hits=314
Expert 119: EMA=0.00%  Hits=328
Expert 32: EMA=0.00%  Hits=309
Expert 43: EMA=0.00%  Hits=314
Expert 11: EMA=0.00%  Hits=337
Expert 106: EMA=0.00%  Hits=403
Expert 116: EMA=0.00%  Hits=301
Expert 80: EMA=0.00%  Hits=239
Expert 83: EMA=0.00%  Hits=272
Expert 26: EMA=0.00%  Hits=255
Expert 97: EMA=0.00%  Hits=231
Expert 117: EMA=0.00%  Hits=238
Expert 58: EMA=0.00%  Hits=229
Expert 5: EMA=0.00%  Hits=218
Expert 7: EMA=0.00%  Hits=185
Expert 70: EMA=0.00%  Hits=228
Expert 35: EMA=0.00%  Hits=210
Expert 93: EMA=0.00%  Hits=191
Expert 68: EMA=0.00%  Hits=187
Expert 40: EMA=0.00%  Hits=188
Expert 51: EMA=0.00%  Hits=191
Expert 98: EMA=0.00%  Hits=193
Expert 52: EMA=0.00%  Hits=162
Expert 2: EMA=0.00%  Hits=146
Expert 91: EMA=0.00%  Hits=164
Expert 63: EMA=0.00%  Hits=161
Expert 47: EMA=0.00%  Hits=152
Expert 25: EMA=0.00%  Hits=178
Expert 90: EMA=0.00%  Hits=168
Expert 34: EMA=0.00%  Hits=150
Expert 44: EMA=0.00%  Hits=151
Expert 23: EMA=0.00%  Hits=169
Expert 75: EMA=0.00%  Hits=142
Expert 16: EMA=0.00%  Hits=138
Expert 1: EMA=0.00%  Hits=100
Expert 27: EMA=0.00%  Hits=126
Expert 15: EMA=0.00%  Hits=119
Expert 53: EMA=0.00%  Hits=121
Expert 71: EMA=0.00%  Hits=120
Expert 8: EMA=0.00%  Hits=116
Expert 78: EMA=0.00%  Hits=90
Expert 126: EMA=0.00%  Hits=81
Expert 81: EMA=0.00%  Hits=91
Expert 36: EMA=0.00%  Hits=83
Expert 66: EMA=0.00%  Hits=64
Expert 9: EMA=0.00%  Hits=73
Expert 100: EMA=0.00%  Hits=63
Expert 120: EMA=0.00%  Hits=70
Expert 73: EMA=0.00%  Hits=72
Expert 125: EMA=0.00%  Hits=79
Expert 50: EMA=0.00%  Hits=64
Expert 28: EMA=0.00%  Hits=66
Expert 85: EMA=0.00%  Hits=62
Expert 14: EMA=0.00%  Hits=52
Expert 101: EMA=0.00%  Hits=47
Expert 86: EMA=0.00%  Hits=43
Expert 127: EMA=0.00%  Hits=44
Expert 33: EMA=0.00%  Hits=39
Expert 124: EMA=0.00%  Hits=36
Expert 18: EMA=0.00%  Hits=30
Expert 111: EMA=0.00%  Hits=29
Expert 39: EMA=0.00%  Hits=37
Expert 29: EMA=0.00%  Hits=28
Expert 95: EMA=0.00%  Hits=31
Expert 57: EMA=0.00%  Hits=21
Expert 20: EMA=0.00%  Hits=21
Expert 96: EMA=0.00%  Hits=17
Expert 56: EMA=0.00%  Hits=16
Expert 45: EMA=0.00%  Hits=15
Expert 74: EMA=0.00%  Hits=18
Expert 118: EMA=0.00%  Hits=14
Expert 13: EMA=0.00%  Hits=11
Expert 17: EMA=0.00%  Hits=7
Expert 49: EMA=0.00%  Hits=4
